City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
241,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.25,85,1,24.61,clear sky
242,Takoradi,GH,4.8845,-1.7554,79.43,87,6,7.7,light rain
243,Vila Velha,BR,-20.3297,-40.2925,76.95,87,0,3.0,clear sky
244,Belaya Gora,RU,68.5333,146.4167,-40.47,99,85,2.1,overcast clouds
245,Kieta,PG,-6.2167,155.6333,87.49,64,10,9.35,clear sky
246,Konstantinovka,RU,49.6167,127.9833,-3.57,90,9,3.71,clear sky
247,Saint-Denis,FR,48.9167,2.3333,47.08,78,75,5.01,broken clouds
248,Nikki,BJ,9.9401,3.2108,70.99,18,0,5.03,clear sky
249,Caernarfon,GB,53.1413,-4.2702,50.72,46,75,21.85,broken clouds
250,Juneau,US,58.3019,-134.4197,39.2,94,100,11.99,moderate rain
251,Mitchell,US,43.7094,-98.0298,39.18,65,40,9.22,scattered clouds
252,Nanortalik,GL,60.1432,-45.2371,8.76,61,100,13.02,overcast clouds
253,Gemunden,DE,50.05,9.7,42.76,81,100,15.64,overcast clouds
254,Longyearbyen,SJ,78.2186,15.6401,10.24,61,20,19.57,few clouds
255,Omsukchan,RU,62.5333,155.8,-10.93,73,17,2.93,few clouds
256,Westport,US,41.1415,-73.3579,24.78,62,0,3.0,clear sky
257,Jibuti,DJ,11.5,42.5,71.02,64,4,3.67,clear sky
258,San Policarpo,PH,12.1791,125.5072,81.16,73,100,18.19,overcast clouds
259,Cabo San Lucas,MX,22.8909,-109.9124,69.51,64,0,4.0,clear sky
260,Shar,KZ,49.5886,81.0453,-2.16,82,0,4.92,clear sky
261,Petatlan,MX,17.5167,-101.2667,84.0,74,0,3.15,clear sky
262,Ilulissat,GL,69.2167,-51.1,3.22,51,100,16.11,overcast clouds
263,Fare,PF,-16.7,-151.0167,80.83,74,15,19.77,light rain
264,Kireyevsk,RU,53.9336,37.9279,13.62,95,100,9.91,snow
265,Yerbogachen,RU,61.2767,108.0108,10.17,97,100,2.53,light snow
266,Bathsheba,BB,13.2167,-59.5167,77.13,72,79,10.8,broken clouds
267,Asfi,MA,32.2994,-9.2372,58.12,76,65,16.69,broken clouds
268,College,US,64.8569,-147.8028,12.79,80,100,0.0,light snow
269,Dhidhdhoo,MV,6.8833,73.1,80.1,66,29,4.9,scattered clouds
270,Yar-Sale,RU,66.8333,70.8333,-14.6,100,80,3.6,broken clouds
271,Usinsk,RU,65.9939,57.5281,-15.88,100,93,4.16,overcast clouds
272,Colares,PT,38.7992,-9.4469,53.29,68,0,1.01,clear sky
273,Salamiyah,SY,35.0113,37.0532,45.34,81,84,5.82,broken clouds
274,Pozo Colorado,PY,-23.4923,-58.7972,72.23,88,100,3.58,overcast clouds
275,Saint-Georges,GD,12.0564,-61.7485,78.48,78,40,11.5,scattered clouds
276,Constitucion,CL,-35.3333,-72.4167,59.94,75,0,12.53,clear sky
277,East Wenatchee Bench,US,47.4257,-120.2812,43.36,82,0,6.91,clear sky
278,Rosetta,EG,31.4044,30.4164,58.19,64,82,11.48,broken clouds
279,Alihe,CN,50.5667,123.7167,2.41,77,42,3.15,scattered clouds
280,Poum,NC,-20.2333,164.0167,79.05,88,100,8.55,overcast clouds
281,Akyab,MM,20.15,92.9,65.12,90,99,8.32,overcast clouds
282,Honningsvag,NO,70.9821,25.9704,31.28,70,50,31.74,scattered clouds
283,Palanga,LT,55.9175,21.0686,39.22,87,75,9.22,broken clouds
284,Damara,CF,4.9608,18.7035,72.73,24,100,4.27,overcast clouds
285,Cuamba,MZ,-14.8031,36.5372,65.61,97,38,3.09,scattered clouds
286,Fairbanks,US,64.8378,-147.7164,10.6,79,100,0.0,light snow
287,Newport,GB,51.5877,-2.9984,50.45,90,100,32.26,moderate rain
288,Isangel,VU,-19.55,169.2667,82.33,85,98,14.7,overcast clouds
289,Nouadhibou,MR,20.931,-17.0347,65.14,83,0,17.58,clear sky
290,Stornoway,GB,58.2093,-6.3865,35.56,83,100,4.0,overcast clouds
291,Kununurra,AU,-15.7667,128.7333,85.98,74,100,1.14,overcast clouds
292,Nijar,ES,36.9665,-2.206,55.04,63,100,4.61,overcast clouds
293,Shitanjing,CN,39.2342,106.3439,14.79,36,100,5.17,overcast clouds
294,De-Kastri,RU,51.4667,140.7833,6.53,89,100,13.09,overcast clouds
295,Alice Springs,AU,-23.7,133.8833,78.35,31,0,9.22,clear sky
296,Kavaratti,IN,10.5669,72.642,77.97,61,10,5.84,clear sky
297,Teya,RU,60.3778,92.6267,5.07,98,100,2.95,overcast clouds
298,San Cristobal,VE,7.7669,-72.225,71.78,93,32,1.1,scattered clouds
299,Hailar,CN,49.2,119.7,-5.93,89,96,4.97,overcast clouds
300,Bongandanga,CD,1.5,21.05,70.48,45,100,1.41,overcast clouds
301,Bani Walid,LY,31.7566,13.9942,55.99,33,100,2.42,overcast clouds
302,Ponta Delgada,PT,37.7333,-25.6667,60.49,82,20,10.36,few clouds
303,Kijang,KR,35.2442,129.2139,30.07,42,100,12.15,overcast clouds
304,Kloulklubed,PW,7.0419,134.2556,81.79,79,72,22.21,broken clouds
305,Buraydah,SA,26.326,43.975,50.49,51,0,6.51,clear sky
306,Say,NE,13.1007,2.3689,65.84,17,2,10.25,clear sky
307,Mabaruma,GY,8.2,-59.7833,73.69,91,61,2.86,broken clouds
